on_off,algorism,tempo,helz,length
1,2,125,A3,8d
1,2,125,A3,16
1,2,125,A3,8
1,2,125,G3,8
1,2,125,G3,8
1,2,125,G3,8
1,2,125,F3,8
1,2,125,G3,8
1,2,125,A3,8
1,2,125,AS3,8
1,2,125,A3,8
1,2,125,G3,8
1,2,125,A3,8
1,2,125,AS3,8
1,2,125,C4,8
1,2,125,D4,8
1,2,125,F4,8
1,2,125,D4,8
1,2,125,C4,8
1,2,125,AS3,8
1,2,125,A3,8
1,2,125,G3,8d
1,2,125,G3,16
1,2,125,G3,8
1,2,125,A3,8d
1,2,125,A3,16
1,2,125,A3,8
1,2,125,A3,8
1,2,125,F3,8
1,2,125,A3,8
1,2,125,G3,1
0,2,125,G3,4
